experiment,seed,dataset,sample_id,df,lr_degradation,model,input_projection,hash_base_resolution,hash_max_resolution,iters,psnr_model,psnr_bilinear,psnr_improvement,ssim_model,ssim_bilinear,ssim_improvement,lpips_model,lpips_bilinear,lpips_improvement,eval_crop_applied,eval_crop_lr,eval_crop_hr,attn_entropy_mean,attn_fine_mass_last3,training_time_seconds,time_per_iteration_seconds,total_runtime_seconds,final_recon_loss,ttq_psnr_seconds,ttq_psnr_iteration,artifact_dir,command,attn_mean_by_level
fourier_mlp_baseline_area,6,satburst_synth,ASMSpotter-28-1-2_rgb,4,area,mlp_tcnn,fourier,8,48,2000,36.106407165527344,30.347782135009766,5.758625030517578,0.9251386523246765,0.7738931775093079,0.15124547481536865,0.1845732033252716,0.3706870675086975,0.1861138641834259,False,64,256,,,7.781506299972534,0.003890753149986267,11.187729597091675,0.004724651575088501,,,/workspaces/scalef/single_samples/satburst_synth/ASMSpotter-28-1-2_rgb/fourier_mlp_baseline_area,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:0 --sample_id ASMSpotter-28-1-2_rgb --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation area --run_name fourier_mlp_baseline_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,
fourier_mlp_baseline_s2_psf,6,satburst_synth,ASMSpotter-28-1-2_rgb,4,s2_psf,mlp_tcnn,fourier,8,48,2000,30.998594284057617,30.347782135009766,0.6508121490478516,0.8465981483459473,0.7738931775093079,0.0727049708366394,0.2951112389564514,0.3706870675086975,0.0755758285522461,False,64,256,,,9.692049980163574,0.004846024990081787,12.955263376235962,0.009375938214361668,,,/workspaces/scalef/single_samples/satburst_synth/ASMSpotter-28-1-2_rgb/fourier_mlp_baseline_s2_psf,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:0 --sample_id ASMSpotter-28-1-2_rgb --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation s2_psf --run_name fourier_mlp_baseline_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_mlp_baseline_area,6,satburst_synth,ASMSpotter-28-1-2_rgb,4,area,mlp_tcnn,hashgrid_tcnn,16,64,2000,36.360565185546875,30.347782135009766,6.012783050537109,0.9304216504096985,0.7738931775093079,0.15652847290039062,0.2137484848499298,0.3706870675086975,0.1569385826587677,False,64,256,,,7.782223463058472,0.0038911117315292357,11.128360509872437,0.0017700621392577887,,,/workspaces/scalef/single_samples/satburst_synth/ASMSpotter-28-1-2_rgb/hashgrid_mlp_baseline_area,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:0 --sample_id ASMSpotter-28-1-2_rgb --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation area --run_name hashgrid_mlp_baseline_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_mlp_baseline_s2_psf,6,satburst_synth,ASMSpotter-28-1-2_rgb,4,s2_psf,mlp_tcnn,hashgrid_tcnn,16,64,2000,28.775423049926758,30.347782135009766,-1.5723590850830078,0.8021939396858215,0.7738931775093079,0.028300762176513672,0.31304794549942017,0.3706870675086975,0.057639122009277344,False,64,256,,,9.758419036865234,0.004879209518432617,12.960512161254883,0.004036637023091316,,,/workspaces/scalef/single_samples/satburst_synth/ASMSpotter-28-1-2_rgb/hashgrid_mlp_baseline_s2_psf,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:0 --sample_id ASMSpotter-28-1-2_rgb --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation s2_psf --run_name hashgrid_mlp_baseline_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_level_attention_area,6,satburst_synth,ASMSpotter-28-1-2_rgb,4,area,hash_attn,hashgrid_tcnn,16,64,2000,34.68364715576172,30.347782135009766,4.335865020751953,0.9048132300376892,0.7738931775093079,0.13092005252838135,0.2196788191795349,0.3706870675086975,0.1510082483291626,False,64,256,2.4008371829986572,0.45352572202682495,13.734973669052124,0.006867486834526062,17.09246039390564,0.0054578050039708614,,,/workspaces/scalef/single_samples/satburst_synth/ASMSpotter-28-1-2_rgb/hashgrid_level_attention_area,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:0 --sample_id ASMSpotter-28-1-2_rgb --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model hash_attn --hash_attn_token_dim 32 --log_attention --lr_degradation area --run_name hashgrid_level_attention_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.022678738459944725, 0.02422453835606575, 0.02449689619243145, 0.025546278804540634, 0.026718061417341232, 0.029069898650050163, 0.030643785372376442, 0.032339103519916534, 0.03788924589753151, 0.04461624473333359, 0.05923536792397499, 0.08195201307535172, 0.10706411302089691, 0.12469921261072159, 0.15216074883937836, 0.17666573822498322]"
hashgrid_level_attention_s2_psf,6,satburst_synth,ASMSpotter-28-1-2_rgb,4,s2_psf,hash_attn,hashgrid_tcnn,16,64,2000,29.33722686767578,30.347782135009766,-1.0105552673339844,0.7974560856819153,0.7738931775093079,0.023562908172607422,0.3336026072502136,0.3706870675086975,0.03708446025848389,False,64,256,2.112900733947754,0.5890471935272217,15.645983457565308,0.007822991728782654,18.88257336616516,0.010398480109870434,,,/workspaces/scalef/single_samples/satburst_synth/ASMSpotter-28-1-2_rgb/hashgrid_level_attention_s2_psf,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:0 --sample_id ASMSpotter-28-1-2_rgb --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model hash_attn --hash_attn_token_dim 32 --log_attention --lr_degradation s2_psf --run_name hashgrid_level_attention_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.016603607684373856, 0.017817385494709015, 0.017766397446393967, 0.018612492829561234, 0.019939925521612167, 0.021224088966846466, 0.021944772452116013, 0.02323843166232109, 0.026443608105182648, 0.02850409783422947, 0.03588459640741348, 0.05426377058029175, 0.10870964825153351, 0.139838308095932, 0.19577768445014954, 0.25343120098114014]"
fourier_band_attention_area,6,satburst_synth,ASMSpotter-28-1-2_rgb,4,area,fourier_band_attn,fourier,8,48,2000,30.020322799682617,30.347782135009766,-0.32745933532714844,0.735217273235321,0.7738931775093079,-0.038675904273986816,0.43863269686698914,0.3706870675086975,-0.06794562935829163,False,64,256,2.027768850326538,0.41319140791893005,11.820696353912354,0.0059103481769561764,15.176260709762573,0.04360269755125046,,,/workspaces/scalef/single_samples/satburst_synth/ASMSpotter-28-1-2_rgb/fourier_band_attention_area,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:0 --sample_id ASMSpotter-28-1-2_rgb --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model fourier_band_attn --attn_token_dim 32 --fourier_num_bands 8 --log_attention --lr_degradation area --run_name fourier_band_attention_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.10913991928100586, 0.14287272095680237, 0.11855123937129974, 0.10875348001718521, 0.10749121010303497, 0.1551748514175415, 0.11724671721458435, 0.1407698392868042]"
fourier_band_attention_s2_psf,6,satburst_synth,ASMSpotter-28-1-2_rgb,4,s2_psf,fourier_band_attn,fourier,8,48,2000,27.64442253112793,30.347782135009766,-2.703359603881836,0.6249443888664246,0.7738931775093079,-0.1489487886428833,0.4942930042743683,0.3706870675086975,-0.12360593676567078,False,64,256,2.0075061321258545,0.4028458595275879,13.302159786224365,0.006651079893112183,16.503342151641846,0.05123698711395264,,,/workspaces/scalef/single_samples/satburst_synth/ASMSpotter-28-1-2_rgb/fourier_band_attention_s2_psf,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:0 --sample_id ASMSpotter-28-1-2_rgb --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model fourier_band_attn --attn_token_dim 32 --fourier_num_bands 8 --log_attention --lr_degradation s2_psf --run_name fourier_band_attention_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.11129742115736008, 0.14472392201423645, 0.11570461094379425, 0.11060461401939392, 0.11482356488704681, 0.15679281949996948, 0.11503320932388306, 0.13101983070373535]"
fourier_mlp_baseline_area,6,satburst_synth,ASMSpotter-29-3-1_rgb,4,area,mlp_tcnn,fourier,8,48,2000,36.6541862487793,30.43590545654297,6.218280792236328,0.9335346221923828,0.8345487713813782,0.09898585081100464,0.16726304590702057,0.35301631689071655,0.18575327098369598,False,64,256,,,7.918139696121216,0.003959069848060608,11.284998416900635,0.0017887204885482788,,,/workspaces/scalef/single_samples/satburst_synth/ASMSpotter-29-3-1_rgb/fourier_mlp_baseline_area,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:0 --sample_id ASMSpotter-29-3-1_rgb --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation area --run_name fourier_mlp_baseline_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,
fourier_mlp_baseline_s2_psf,6,satburst_synth,ASMSpotter-29-3-1_rgb,4,s2_psf,mlp_tcnn,fourier,8,48,2000,31.90950584411621,30.43590545654297,1.4736003875732422,0.8802865147590637,0.8345487713813782,0.04573774337768555,0.2652817964553833,0.35301631689071655,0.08773452043533325,False,64,256,,,9.466146469116211,0.0047330732345581055,12.868582248687744,0.002705677878111601,,,/workspaces/scalef/single_samples/satburst_synth/ASMSpotter-29-3-1_rgb/fourier_mlp_baseline_s2_psf,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:0 --sample_id ASMSpotter-29-3-1_rgb --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation s2_psf --run_name fourier_mlp_baseline_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,
